pedido_id,cliente_id,produto_id,quantidade,preco_unitario,status,data_pedido,data_entrega
1001,1,1,1,3499.99,entregue,2024-01-10,2024-01-15
1002,2,2,2,89.90,entregue,2024-01-12,2024-01-17
1003,3,3,1,299.90,entregue,2024-01-15,2024-01-20
1004,1,5,1,349.90,entregue,2024-01-18,2024-01-23
1005,4,7,2,299.90,cancelado,2024-01-20,
1006,5,2,3,89.90,entregue,2024-01-22,2024-01-27
1007,6,4,1,1299.90,em_transito,2024-01-25,
1008,7,6,1,199.90,entregue,2024-01-28,2024-02-02
1009,2,8,5,49.90,entregue,2024-02-01,2024-02-06
1010,8,9,2,29.90,cancelado,2024-02-03,
1011,9,10,1,149.90,entregue,2024-02-05,2024-02-10
1012,10,1,1,3499.99,em_transito,2024-02-08,
1013,3,2,1,89.90,entregue,2024-02-10,2024-02-15
1014,5,3,2,299.90,entregue,2024-02-12,2024-02-17
1015,1,4,1,1299.90,entregue,2024-02-15,2024-02-20
1016,11,5,1,349.90,entregue,2026-05-02,2026-05-07
1017,12,3,2,299.90,entregue,2026-05-03,2026-05-08
1018,13,8,4,49.90,em_transito,2026-05-04,
1019,14,1,1,3499.99,entregue,2026-05-05,2026-05-10
1020,15,6,2,199.90,cancelado,2026-05-06,
1021,16,4,1,1299.90,entregue,2026-05-07,2026-05-12
1022,17,10,3,149.90,entregue,2026-05-08,2026-05-13
1023,18,2,5,89.90,em_transito,2026-05-09,
1024,19,7,1,299.90,entregue,2026-05-10,2026-05-15
1025,20,9,2,29.90,entregue,2026-05-11,2026-05-16
1026,11,3,1,299.90,cancelado,2026-05-12,
1027,12,5,2,349.90,entregue,2026-05-13,2026-05-18
1028,13,1,1,3499.99,em_transito,2026-05-14,
1029,14,2,3,89.90,entregue,2026-05-15,2026-05-20
1030,15,6,1,199.90,entregue,2026-05-16,2026-05-21
1031,16,4,2,1299.90,entregue,2026-05-17,2026-05-22
1032,17,8,6,49.90,cancelado,2026-05-18,
1033,18,10,1,149.90,entregue,2026-05-19,2026-05-24
1034,19,3,2,299.90,em_transito,2026-05-20,
1035,20,7,1,299.90,entregue,2026-05-21,2026-05-26
1036,21,2,4,89.90,entregue,2026-05-22,2026-05-27
1037,22,9,3,29.90,entregue,2026-05-23,2026-05-28
1038,23,5,1,349.90,cancelado,2026-05-24,
1039,24,1,1,3499.99,entregue,2026-05-25,2026-05-30
1040,25,4,1,1299.90,em_transito,2026-05-26,
1041,26,6,2,199.90,entregue,2026-05-27,2026-06-01
1042,27,8,5,49.90,entregue,2026-05-28,2026-06-02
1043,28,10,2,149.90,cancelado,2026-05-29,
1044,29,3,1,299.90,entregue,2026-05-30,2026-06-04
1045,30,2,2,89.90,em_transito,2026-05-31,
1071,56,11,3,59.90,entregue,2026-06-26,2026-07-01
1072,57,7,2,39.90,cancelado,2026-06-27
1073,58,4,1,899.90,em_transito,2026-06-28
1074,59,6,2,129.90,entregue,2026-06-29,2026-07-04
1075,60,8,4,49.90,entregue,2026-06-30,2026-07-05
1076,61,3,1,1999.90,cancelado,2026-07-01
1077,62,5,2,79.90,em_transito,2026-07-02
1078,63,9,5,149.90,entregue,2026-07-03,2026-07-08
1079,64,2,1,299.90,entregue,2026-07-04,2026-07-09
1080,65,10,3,89.90,cancelado,2026-07-05
1081,66,6,2,59.90,entregue,2026-07-06,2026-07-11
1082,67,7,4,349.90,em_transito,2026-07-07
1083,68,12,6,19.90,entregue,2026-07-08,2026-07-13
1084,69,3,1,499.90,cancelado,2026-07-09
1085,70,8,2,129.90,entregue,2026-07-10,2026-07-15
1086,71,4,1,999.90,em_transito,2026-07-11
1087,72,6,3,39.90,entregue,2026-07-12,2026-07-17
1088,73,8,2,249.90,cancelado,2026-07-13
1089,74,3,1,1499.90,entregue,2026-07-14,2026-07-19
1090,75,10,4,89.90,entregue,2026-07-15,2026-07-20
1091,76,11,3,59.90,cancelado,2026-07-16
1092,77,7,2,39.90,em_transito,2026-07-17
1093,78,4,1,899.90,entregue,2026-07-18,2026-07-23
1094,79,6,2,129.90,entregue,2026-07-19,2026-07-24
1095,80,8,4,49.90,cancelado,2026-07-20
1096,81,3,1,1999.90,em_transito,2026-07-21
1097,82,5,2,79.90,entregue,2026-07-22,2026-07-27
1098,83,9,5,149.90,entregue,2026-07-23,2026-07-28
1099,84,2,1,299.90,cancelado,2026-07-24
1100,85,10,3,89.90,entregue,2026-07-25,2026-07-30
